        file     run  object           RA         Dec  equinox     UT  airm  instr    texp   PA  slit   grat  cenwA 
 r761744.fit  761744    bias  14:01:38.81  01:32:40.1  J2000.0  20:47  1.14  ISISB     0.0  180  1.03  R600B   4302 
 r761746.fit  761746    bias  14:01:38.74  01:32:39.3  J2000.0  20:48  1.14  ISISB     0.0  180  1.03  R600B   4302 
 r761748.fit  761748    bias   0:00:00.00  00:00:00.0  J2000.0  20:48  1.05  ISISB     0.0  180  1.03  R600B   4302 
 r761750.fit  761750    bias  13:47:15.55  17:27:24.7  J2000.0  20:49  1.05  ISISB     0.0  180  1.03  R600B   4302 
 r761752.fit  761752    bias  13:47:15.62  17:27:24.7  J2000.0  20:50  1.05  ISISB     0.0  180  1.03  R600B   4302 
 r761787.fit  761787    bd33  15:51:58.99  32:56:51.2  J2000.0  22:11   1.0  ISISB   240.0   76  1.02  R600B   4302 
 r761790.fit  761790    bd33  15:51:58.99  32:56:51.2  J2000.0  22:16  1.01  ISISB   240.0   76  1.02  R600B   4302 
 r761805.fit  761805     arc  14:51:14.73  35:32:31.0  J2000.0  23:09  1.14  ISISB    60.0   30  1.03  R600B   4302 
 r761806.fit  761806    flat  14:51:14.73  35:32:31.0  J2000.0  23:12  1.15  ISISB    30.0   30  1.03  R600B   4302 
 r761809.fit  761809  GALAXY  14:51:14.73  35:32:31.0  J2000.0  23:15  1.16  ISISB  1500.0   30  1.03  R600B   4302 
 r761810.fit  761810  GALAXY  14:51:14.94  35:32:29.5  J2000.0  23:41  1.23  ISISB  1500.0   30  1.03  R600B   4302 
 r761813.fit  761813     arc  14:51:14.94  35:32:29.4  J2000.0  00:08  1.33  ISISB    60.0   30  1.03  R600B   4302 
 r761815.fit  761815    flat  14:51:14.94  35:32:29.4  J2000.0  00:11  1.34  ISISB    30.0   30  1.03  R600B   4302 
 r761821.fit  761821     arc  21:59:41.89  26:25:56.7  J2000.0  01:11  1.27  ISISB    60.0  283  1.03  R600B   4302 
 r761822.fit  761822    flat  21:59:41.89  26:25:56.8  J2000.0  01:13  1.26  ISISB    30.0  283  1.03  R600B   4302 
 r761824.fit  761824    bd25  21:59:41.89  26:25:56.8  J2000.0  01:16  1.25  ISISB   100.0  283  1.03  R600B   4302 
 r761827.fit  761827    bd25  21:59:41.89  26:25:56.7  J2000.0  01:20  1.24  ISISB   100.0  283  1.03  R600B   4302 
 r761881.fit  761881    bias  19:16:42.76  63:58:12.6  J2000.0  05:31  1.64  ISISB     0.0   76  1.03  R600B   4302 
 r761882.fit  761882    bias  19:16:42.76  63:58:12.5  J2000.0  05:31  1.65  ISISB     0.0   76  1.03  R600B   4302 
 r761883.fit  761883    bias   0:00:00.00  00:00:00.0  J2000.0  05:32  1.22  ISISB     0.0   76  1.03  R600B   4302 
 r761884.fit  761884    bias   0:00:00.00  00:00:00.0  J2000.0  05:32   1.0  ISISB     0.0   76  1.03  R600B   4302 
 r761885.fit  761885    bias   0:00:00.00  00:00:00.0  J2000.0  05:33   1.0  ISISB     0.0   76  1.03  R600B   4302 
